,title,img url,link,view count,posted date,source,relevant keywords
118,다시 들러도 후회없을 서울 맛집 디라이프스타일 나폴레옹 명동교자 미나미야마돈가스,https://i.ytimg.com/vi/aFVKL3AfuhY/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAOvmqLMwMEKtwOEE7XfeVfnh3F5Q,https://www.youtube.com/watch?v=aFVKL3AfuhY,64 views,5 months ago,세상의 모든 맛집,N/A
119,"(자막x)vlogㅣ서울 맛집, 한강 뷰 카페 추천 모음집 #1",https://i.ytimg.com/vi/b2xm3UuRtps/hq720.jpg?sqp=-oaymwE2COgCEMoBSFXyq4qpAygIARUAAIhCGAFwAcABBvABAfgB_gmAAtAFigIMCAAQARhlIFwoTjAP&rs=AOn4CLA6qX0hMqkOIBXJKKGT1PQStsOaKw,https://www.youtube.com/watch?v=b2xm3UuRtps,70 views,7 months ago,조조현지,"['이번', '영상은', '#맛집브이로그', '&', '#카페투어브이로그', '로', '찾아왔습니다!!', '자막', '없이', '음악과', '함께', '감상해주시면', '되겠슴다', '❤️', '이번', '영상도', '...', '이번', '영상은', '#맛집브이로그', '&', '#카페투어브이로그', '로', '찾아왔습니다!!', '자막', '없이', '음악과', '함께', '감상해주시면', '되겠슴다', '❤️', '이번', '영상도', '...', 'From', 'the', 'video', 'description']"
120,Seoul restaurant recommendation 서울 맛집 추천 / 카츠8 아이파크몰 맛집 Tonkatsu in Seoul Korea Foodie Korea trip,https://i.ytimg.com/vi/itMW6D9t3C0/hq720_2.jpg?sqp=-oaymwE2COgCEMoBSFXyq4qpAygIARUAAIhCGABwAcABBvABAfgBzgWAAoAKigIMCAAQARhlIFYoSzAP&rs=AOn4CLB9viWp73oW1Z2jXs0Mcl8QRkRnkw,https://www.youtube.com/shorts/itMW6D9t3C0,1.2K views,6 months ago,UoH (University of Horang),N/A
121,서울에서 라떼 종결해도 되는집 서울 카페 맛집 #shorts #서울카페 #서울맛집,https://i.ytimg.com/vi/XXP3QdOzFoI/hq720_2.jpg?sqp=-oaymwE2COgCEMoBSFXyq4qpAygIARUAAIhCGABwAcABBvABAfgBzgWAAoAKigIMCAAQARhcIFwoXDAP&rs=AOn4CLDL5Mu9dEn8sODX3wrLtPBhUc424A,https://www.youtube.com/shorts/XXP3QdOzFoI,3.7K views,2 months ago,고르다일상,"['shorts', '#서울카페맛집', '#서울맛집.', 'shorts', '#서울카페맛집', '#서울맛집.', 'From', 'the', 'video', 'description']"
122,【 서울 맛집 】 오코노미야끼 | 하이볼 | 망원동 | 직장인 혼술 | 혼술아저씨,https://i.ytimg.com/vi/ZUMXuTS9dis/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCUTqB8Yu_-8VWOYEqZq8fSLRcrWQ,https://www.youtube.com/watch?v=ZUMXuTS9dis,743 views,1 year ago,혼술 아저씨,"['망원동', '#서울', '맛집', '#오코노미야끼', '오코노미야끼', 'X', '하이볼', '(feat.', '망원동', '소점)', '#이자카야', '#심야식당', '#맛집', '...', '망원동', '#서울', '맛집', '#오코노미야끼', '오코노미야끼', 'X', '하이볼', '(feat.', '망원동', '소점)', '#이자카야', '#심야식당', '#맛집', '...', 'From', 'the', 'video', 'description']"
123,양고기 인식이 180도 바뀌는 서울 1등 로컬 맛집 리뷰,https://i.ytimg.com/vi/IWMY5pUFsO0/hq720_2.jpg?sqp=-oaymwE2COgCEMoBSFXyq4qpAygIARUAAIhCGABwAcABBvABAfgBtgiAAoAPigIMCAAQARhlIFEoRzAP&rs=AOn4CLB37NdXeWu03UH3EoML5IrxecdbaQ,https://www.youtube.com/shorts/IWMY5pUFsO0,56K views,5 days ago,조이한끼,"['즐기는', '한끼,', '조이한끼!', '구독은', '큰', '힘이', '됩니다!', '조이한끼', '이메일:', 'joey1meal@gmail.com', '[식당정보]', '주소', ':', '서울특별시', '동작구', '...', '즐기는', '한끼,', '조이한끼!', '구독은', '큰', '힘이', '됩니다!', '조이한끼', '이메일:', 'joey1meal@gmail.com', '[식당정보]', '주소', ':', '서울특별시', '동작구', '...', 'From', 'the', 'video', 'description']"
124,쩝쩝교수님들과 함께한 서울 맛집 & 전시 투어 (이게 태교인가),https://i.ytimg.com/vi/SLd5typep_o/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCFOdEsswlpuiIn-Dh-qisUnMIgnw,https://www.youtube.com/watch?v=SLd5typep_o,844 views,8 months ago,마음모음집 mamozip,N/A
125,[서울 맛집] 말차 티라미수 1등 맛집 - 가배도 #Shorts,https://i.ytimg.com/vi/8H0VSCIEyfg/hq720_2.jpg?sqp=-oaymwE2COgCEMoBSFXyq4qpAygIARUAAIhCGABwAcABBvABAfgBtgiAAoAPigIMCAAQARhlIFUoRjAP&rs=AOn4CLCVEmMbY97e6wt8CUosmYPV0tUYeg,https://www.youtube.com/shorts/8H0VSCIEyfg,626 views,1 year ago,전국맛집지도,"['서울', '종로구', '소격동,', '정독도서관', '인근에', '위치한', '티라미수', '맛집', '[가배도]', '입니다.', '[맛집', '정보]', '-', '주소:', '서울', '종로구', '북촌로5길', '56-8', '-', '영업', '...', '서울', '종로구', '소격동,', '정독도서관', '인근에', '위치한', '티라미수', '맛집', '[가배도]', '입니다.', '[맛집', '정보]', '-', '주소:', '서울', '종로구', '북촌로5길', '56-8', '-', '영업', '...', 'From', 'the', 'video', 'description']"
126,"서울 노원구 상계동 맛집투어 9곳, 노원역,상계역,당고개역 맛집 한편으로 끝내기",https://i.ytimg.com/vi/PikNoSVBpic/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAog6wj-aBE8Oj-Hap4btBEO5dlgg,https://www.youtube.com/watch?v=PikNoSVBpic,476K views,2 months ago,하이갱스 higaengs,N/A
127,북촌에서 손만두와 냉면 들어가네 | 서울 만두 맛집,https://i.ytimg.com/vi/MJQxwTcBbCk/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD8oCptoov-t_U_vNLQvCtqhm7URw,https://www.youtube.com/watch?v=MJQxwTcBbCk,188 views,4 days ago,입 벌리시게,"['북촌', '나들이', '✓', '북촌손만두', '삼청동점', '(서울', '종로구', '율곡로3길)', '*', '매장이', '매우', '협소하니', '소수', '인원으로', '가시는', '것을', '추천합니다.', '북촌', '나들이', '✓', '북촌손만두', '삼청동점', '(서울', '종로구', '율곡로3길)', '*', '매장이', '매우', '협소하니', '소수', '인원으로', '가시는', '것을', '추천합니다.', 'From', 'the', 'video', 'description']"
128,명동 아트몬스터 솔직한 맛평가 #맛집 #맛집소개 #서울 #서울맛집 #명동 #명동맛집 #shorts,https://i.ytimg.com/vi/TfTHl6cfS3U/hq720_2.jpg?sqp=-oaymwE2COgCEMoBSFXyq4qpAygIARUAAIhCGABwAcABBvABAfgBzgWAAoAKigIMCAAQARhlIGMoQTAP&rs=AOn4CLBsvgIGOy3QMoqQl9hqb9LeQp5ZlA,https://www.youtube.com/shorts/TfTHl6cfS3U,1K views,1 month ago,금열금동,N/A
129,혜화역 화덕피자 찐맛집 피제리아오 대학로맛집 서울맛집 서울구경 delicious food in Korea pizza food show HD 4K,https://i.ytimg.com/vi/oGXnYKeXn-4/hq720_2.jpg?sqp=-oaymwE2COgCEMoBSFXyq4qpAygIARUAAIhCGABwAcABBvABAfgBlAOAAtAFigIMCAAQARhlIFkoSzAP&rs=AOn4CLCLl8U5VtZJUNHpFs4Yf8MH9ICaGQ,https://www.youtube.com/shorts/oGXnYKeXn-4,123 views,1 year ago,사이먼쿤SimonKun,"['혜화역', '화덕피자', '찐맛집', '피제리아오', '대학로맛집', '서울맛집', '서울구경', 'delicious', 'food', 'in', 'Korea', 'pizza', 'food', 'show', 'HD', '4K.', '혜화역', '화덕피자', '찐맛집', '피제리아오', '대학로맛집', '서울맛집', '서울구경', 'delicious', 'food', 'in', 'Korea', 'pizza', 'food', 'show', 'HD', '4K.', 'From', 'the', 'video', 'description']"
130,"서울 맛집 |  성수에 핫한 곱창 맛집 | 전참시 비님이 추천한 이유가 있었네...(서울숲 곱창, 뚝섬 곱창, 소인수서울)",https://i.ytimg.com/vi/LUHU18g68XE/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC6VMmEup9SSGPthzAdmtzrdHSxdw,https://www.youtube.com/watch?v=LUHU18g68XE,1.5K views,1 year ago,먹즐남,"['안녕하세요!!', '핫하고', '숨어있는', '맛집을', '찾아다니는', '쏘다맛', 'TV입니다.', '제', '채널은', '핫한', '맛집과', '숨어있는', '맛집을', '솔직하게', '리뷰하는', '채널', '...', '안녕하세요!!', '핫하고', '숨어있는', '맛집을', '찾아다니는', '쏘다맛', 'TV입니다.', '제', '채널은', '핫한', '맛집과', '숨어있는', '맛집을', '솔직하게', '리뷰하는', '채널', '...', 'From', 'the', 'video', 'description']"
131,감히 서울 최고 가성비라 자부합니다!기적을 보여드립니다!,https://i.ytimg.com/vi/fPS0YikCNTI/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC4jhjUZOcyXVAh04K06mjUueGgnw,https://www.youtube.com/watch?v=fPS0YikCNTI,545K views,1 year ago,윤호찌,"['오늘은', '세종대쪽에', '위치한', '노포', '레스토랑에서', '술먹방을', '하고왔습니다.', '미친', '가성비에', '놀랐습니다.', '재즈레스토랑', '서울', '광진구', '화양동', '...', '오늘은', '세종대쪽에', '위치한', '노포', '레스토랑에서', '술먹방을', '하고왔습니다.', '미친', '가성비에', '놀랐습니다.', '재즈레스토랑', '서울', '광진구', '화양동', '...', 'From', 'the', 'video', 'description']"
132,[서울맛집] 이 양이 실화? 2인분 시키면 4인분이 나오는 야채곱창맛집 대박곱창 상황,https://i.ytimg.com/vi/WLX_2jLInkg/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDVnCCv1UxBg6HsJWdfsklHUeiiWA,https://www.youtube.com/watch?v=WLX_2jLInkg,1.9K views,6 months ago,57초 맛집정보,"['맛있는', '정보', '57초', '맛집정보입니다', '—————————————————————————————————', '대박곱창', '서울', '양천구', '...', '맛있는', '정보', '57초', '맛집정보입니다', '—————————————————————————————————', '대박곱창', '서울', '양천구', '...', 'From', 'the', 'video', 'description']"
133,된짱찌개 하나로 빌딩 올린 집 / 서울 맛집 / 양평동 맛집 / 맛집 / 쏘울맛집,https://i.ytimg.com/vi/WuTlIbHPirg/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBNrT-jGY-TgiJWH925YcbwuYxkbw,https://www.youtube.com/watch?v=WuTlIbHPirg,4.4K views,2 years ago,쏘울맛집,"['맛집', '#양평동맛집', '#된장찌개', '#또순이네', '#서울맛집', '#쏘울맛집', '시작', '0:31', '서울', '양평동의', '된장찌개맛집', '또순이네에', '다녀왔습니다.', '맛집', '#양평동맛집', '#된장찌개', '#또순이네', '#서울맛집', '#쏘울맛집', '시작', '0:31', '서울', '양평동의', '된장찌개맛집', '또순이네에', '다녀왔습니다.', 'From', 'the', 'video', 'description']"
134,"2021년 사사분기 서울 맛집 총정리!! (네,,, 많이 늦은 2021년 10월~12월 브이로그 입니당)",https://i.ytimg.com/vi/v8jjOyxKbNI/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAayF6USCysPRRHt5ao0qc7LI-gJQ,https://www.youtube.com/watch?v=v8jjOyxKbNI,3.7K views,1 year ago,김가든,N/A
135,[서울맛집] 서울에서 통영의 바다를 먹을수있는 네기실비 식당에 쇼틀리가 다녀왔습니다,https://i.ytimg.com/vi/KWzcN39TmVo/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCcpAvFQWgeD9G1DL8mGYkjErZKlA,https://www.youtube.com/watch?v=KWzcN39TmVo,1.3K views,1 year ago,쇼틀리,"['맛집', '#여행', '#여행맛집', '#맛집여행', '#네기실비', '#서울맛집', '#쇼틀리서울맛집투어', '#쇼틀리', '#통영음식맛집', '#맛집유튜버', '#실비집', '#실비', '...', '맛집', '#여행', '#여행맛집', '#맛집여행', '#네기실비', '#서울맛집', '#쇼틀리서울맛집투어', '#쇼틀리', '#통영음식맛집', '#맛집유튜버', '#실비집', '#실비', '...', 'From', 'the', 'video', 'description']"
136,(서울 맛집) 줄서서 먹는다는 “금성관 나주곰탕” 개운하고 부드러운  맑은 육수맛 👍  #shorts #서울맛집 #금성관 #내돈내산맛집,https://i.ytimg.com/vi/k3_0uIJTHZM/hq720_2.jpg?sqp=-oaymwE2COgCEMoBSFXyq4qpAygIARUAAIhCGABwAcABBvABAfgBzgWAAoAKigIMCAAQARhlIFIoQjAP&rs=AOn4CLBxXslfcmWTxThontwROc4B05RYQQ,https://www.youtube.com/shorts/k3_0uIJTHZM,1.9K views,7 months ago,유추 그린  YOOCHOO GREEN,"['맛집', '줄서서', '먹는다는', '“금성관', '나주곰탕”', '정말', '개운하고', '부드러운', '맑은', '육수맛', '일요일에가면', '줄안서도', '됨!', '@유추TV.', '맛집', '줄서서', '먹는다는', '“금성관', '나주곰탕”', '정말', '개운하고', '부드러운', '맑은', '육수맛', '일요일에가면', '줄안서도', '됨!', '@유추TV.', 'From', 'the', 'video', 'description']"
137,명동 하동관 솔직한 맛평가 #맛집 #맛집소개 #shorts #서울맛집 #명동맛집 #하동관,https://i.ytimg.com/vi/900CKqtUEFc/hq720_2.jpg?sqp=-oaymwE2COgCEMoBSFXyq4qpAygIARUAAIhCGABwAcABBvABAfgBzgWAAoAKigIMCAAQARhyIDkoPTAP&rs=AOn4CLCo0D00OgBZoYDNGvP9IJp3Nu7qLw,https://www.youtube.com/shorts/900CKqtUEFc,2.4K views,2 months ago,금열금동,N/A
138,"""새우장 돈갈비""  맛집PD가 가는 식당#shorts#서울맛집#돼지갈비",https://i.ytimg.com/vi/F_H2L8-8KC4/hq720.jpg?sqp=-oaymwE2COgCEMoBSFXyq4qpAygIARUAAIhCGABwAcABBvABAfgBtgiAAoAPigIMCAAQARh_IDQoEzAP&rs=AOn4CLCtBr_Vls1lT7_rGiY4AmqKoEyXyA,https://www.youtube.com/shorts/F_H2L8-8KC4,955 views,1 month ago,안녕한국,"['서울', '구로', '오류동역', '#김사부', '새우장과', '함께', '먹는', '숯불돼지갈비', '#맛집PD#서울맛집#NOW.', '서울', '구로', '오류동역', '#김사부', '새우장과', '함께', '먹는', '숯불돼지갈비', '#맛집PD#서울맛집#NOW.', 'From', 'the', 'video', 'description']"
139,[광화문 데이트] 모던샤브하우스 #샤브샤브 #서울맛집 #광화문디타워맛집,https://i.ytimg.com/vi/Z-aWp7q_Hu0/hq720_2.jpg?sqp=-oaymwE2COgCEMoBSFXyq4qpAygIARUAAIhCGABwAcABBvABAfgBzgWAAoAKigIMCAAQARhyIE8oPDAP&rs=AOn4CLDFhdbKnfQBskG-n8_rm3kWE5uM8Q,https://www.youtube.com/shorts/Z-aWp7q_Hu0,835 views,3 months ago,얌얌에이드,"['메뉴는', '시그니처로', '선택.', '9가지', '육수', '중', '하나를', '고르면', '그', '육수에', '맞는', '식사가', '나오는', '곳.', '지난번엔', '스키야키', '육수라서', '해물볶음우동을', '...', '메뉴는', '시그니처로', '선택.', '9가지', '육수', '중', '하나를', '고르면', '그', '육수에', '맞는', '식사가', '나오는', '곳.', '지난번엔', '스키야키', '육수라서', '해물볶음우동을', '...', 'From', 'the', 'video', 'description']"
140,"#맛집만 가득한 Vlog, 지난 5개월간의 서울 맛집 기록! 다녀온 곳은 더보기",https://i.ytimg.com/vi/W04hZnS5ntY/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDkLUuN2FxVYXeoS7PZqV6dSIbXXw,https://www.youtube.com/watch?v=W04hZnS5ntY,169 views,4 months ago,김가든,N/A
141,"삼각지맛집 ""몽탄""|우대갈비,양파볶음밥|맛집투어|서울맛집|이영자맛집 제가 먹어보겠습니다~",https://i.ytimg.com/vi/i1tkKbehbHY/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBj7g1omIlg0ptGK7fvDMKD_INT_Q,https://www.youtube.com/watch?v=i1tkKbehbHY,2.8K views,1 year ago,신홍영,"['#삼각지맛집', '#몽탄', '#이영자맛집', '#맛집투어', '#서울맛집', '#용산구맛집', '#이태원맛집.', '#삼각지맛집', '#몽탄', '#이영자맛집', '#맛집투어', '#서울맛집', '#용산구맛집', '#이태원맛집.', 'From', 'the', 'video', 'description']"
142,🪺#서울 야무지게 먹어야지 #seoul #내돈내산 #서울맛집,https://i.ytimg.com/vi/SOl1Dv6RYjs/hq720_2.jpg?sqp=-oaymwE2COgCEMoBSFXyq4qpAygIARUAAIhCGABwAcABBvABAfgBzgWAAoAKigIMCAAQARg9IFEoZTAP&rs=AOn4CLC_CdMRUF9rXPIVWWZrZ5MAK8p9NQ,https://www.youtube.com/shorts/SOl1Dv6RYjs,1.1K views,4 months ago,영화보는스폰지,"['영화보는스본지', '[인스타그램]', 'https://www.instagram.com/p/Cln8HhmJbnn/?igshid=MDJmNzVkMjY=', '영화보는스본지', '[인스타그램]', 'https://www.instagram.com/p/Cln8HhmJbnn/?igshid=MDJmNzVkMjY=', 'From', 'the', 'video', 'description']"
143,"서울 연남동에서 유명한 가지튀김 맛집, 하하 Dumpling restaurant 서울 맛집, 연남동 맛집, 만두 맛집, 군만두 맛집, 중국요리 맛집",https://i.ytimg.com/vi/hoZ811xYVzw/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAtYnMgDg-uWrLUS_95xZ_CYdwZ6Q,https://www.youtube.com/watch?v=hoZ811xYVzw,374 views,3 months ago,원필름,"['안녕하세요.', '원필름', '채널입니다.', '제가', '올린', '영상들은', '제가', '직접가서', '제', '돈내고', '먹은', '곳들입니다.', '주관적인', '리뷰이니', '참고만', '하시길', '...', '안녕하세요.', '원필름', '채널입니다.', '제가', '올린', '영상들은', '제가', '직접가서', '제', '돈내고', '먹은', '곳들입니다.', '주관적인', '리뷰이니', '참고만', '하시길', '...', 'From', 'the', 'video', 'description']"
144,서울 맛집 리스트 202106B,https://i.ytimg.com/vi/jCcfrMhZPiw/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBWNNWj4hGIRmf4E2Yy60QciddeAg,https://www.youtube.com/watch?v=jCcfrMhZPiw,132 views,1 year ago,채널피뮤,"['#서울_맛집', '#맛집', '#맛집_리스트', '음원제공', '-', '사운드클라우드', 'https://www.soundcloud.com', '사용음원', ':', 'Odessa', '-', 'LiQWYD', '...', '#서울_맛집', '#맛집', '#맛집_리스트', '음원제공', '-', '사운드클라우드', 'https://www.soundcloud.com', '사용음원', ':', 'Odessa', '-', 'LiQWYD', '...', 'From', 'the', 'video', 'description']"
145,"vlog. 더현대 서울 맛집◾️르프리크, 허리헝그리, 아이엠바오",https://i.ytimg.com/vi/pljjSSTEn7g/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAq9_TTK7-4icplBxEusQcgPBynyw,https://www.youtube.com/watch?v=pljjSSTEn7g,394 views,3 months ago,밤빛별 Bambitbyul,N/A
